"ID", " COMPLEX                          "," GAS    ", " 4ANGS  ", " 6ANGS  ", " 8ANGS "
"1 ", "acetate methanol                  ", "-19.75 ", " -11.36 ", " -11.84 ", " -12.62"
"2 ", "acetate water                     ", "-21.06 ", " -15.28 ", " -14.44 ", " -15.33"
"3 ", "acetate methylamine               ", "-11.46 ", " 0.35   ", " 0.30   ", " -0.46 "
"4 ", "methylammonium  formaldehyde      ", "-19.10 ", " -12.48 ", " -11.74 ", " -11.93"
"5 ", "methylammonium  methylamine       ", "-28.56 ", " -26.46 ", " -23.90 ", " -22.64"
"6 ", "methylammonium  methanol          ", "-21.23 ", " -14.16 ", " -15.83 ", " -15.52"
"7 ", "methylammonium  water             ", "-18.51 ", " -13.91 ", " -14.09 ", " -13.76"
"8 ", "guanidinium formaldehyde          ", "-18.09 ", " -13.62 ", " -12.66 ", " -12.97"
"9 ", "guanidinium methylamine           ", "-20.20 ", " -19.50 ", " -16.83 ", " -16.02"
"10", "guanidinium methanol              ", "-19.79 ", " -17.25 ", " -16.59 ", " -15.44"
"11", "guanidinium water                 ", "-17.47 ", " -15.42 ", " -14.51 ", " -13.96"
"12", "imidazolium formaldehyde          ", "-16.41 ", " -12.07 ", " -11.96 ", " -11.73"
"13", "imidazolium methylamine           ", "-25.98 ", " -23.71 ", " -22.84 ", " -23.08"
"14", "imidazolium methanol              ", "-18.91 ", " -10.81 ", " -12.42 ", " -14.04"
"15", "imidazolium water                 ", "-16.49 ", " -12.14 ", " -12.06 ", " -12.09"
